go_term	hit_rows	unique_proteins
GO:0005524(InterPro)	3469	1141
GO:0005515(InterPro)	5554	1078
GO:0005737(PANTHER)	1001	1001
GO:0005634(PANTHER)	814	814
GO:0016020(InterPro)	1723	754
GO:0005829(PANTHER)	517	517
GO:0005739(PANTHER)	467	467
GO:0016020(PANTHER)	444	444
GO:0055085(InterPro)	699	414
GO:0003676(InterPro)	641	394
GO:0016887(InterPro)	654	326
GO:0003723(InterPro)	934	288
GO:0006508(InterPro)	778	269
GO:0003677(InterPro)	931	265
GO:0005886(PANTHER)	265	265
GO:0004672(InterPro)	858	263
GO:0006468(InterPro)	895	260
GO:0003824(InterPro)	374	231
GO:0016491(InterPro)	513	223
GO:0008270(InterPro)	614	217
GO:0005730(PANTHER)	191	191
GO:0005525(InterPro)	754	166
GO:0003735(InterPro)	645	166
GO:0003723(PANTHER)	166	166
GO:0006412(InterPro)	620	157
GO:0055085(PANTHER)	155	155
GO:0000166(InterPro)	411	154
GO:0042626(PANTHER)	149	149
GO:0005783(PANTHER)	147	147
GO:0004252(InterPro)	347	146
GO:0005840(InterPro)	547	145
GO:0004674(PANTHER)	143	143
GO:0005737(InterPro)	300	137
GO:0140359(InterPro)	299	136
GO:0022857(InterPro)	224	133
GO:0046872(InterPro)	345	130
GO:0008236(InterPro)	149	128
GO:0005634(InterPro)	246	126
GO:0003924(InterPro)	535	124
GO:0007018(InterPro)	360	121
GO:0006355(InterPro)	440	114
GO:0005789(PANTHER)	114	114
GO:0005615(PANTHER)	113	113
GO:0003735(PANTHER)	112	112
GO:0004252(PANTHER)	110	110
GO:0006508(PANTHER)	105	105
GO:0005975(InterPro)	253	96
GO:0016787(InterPro)	337	92
GO:0006281(InterPro)	160	88
GO:0043231(PANTHER)	88	88
GO:0003729(PANTHER)	87	87
GO:0006351(InterPro)	236	85
GO:0006886(InterPro)	175	82
GO:0030286(InterPro)	107	80
GO:0007186(InterPro)	334	77
GO:0045505(InterPro)	77	77
GO:0051959(InterPro)	77	77
GO:0016192(InterPro)	154	71
GO:0005509(InterPro)	267	70
GO:0005085(InterPro)	213	70
GO:0006357(PANTHER)	70	70
GO:0006629(InterPro)	101	69
GO:0020037(InterPro)	453	67
GO:0005506(InterPro)	430	67
GO:0005743(PANTHER)	67	67
GO:0005794(PANTHER)	67	67
GO:0007165(InterPro)	166	66
GO:0000398(PANTHER)	65	65
GO:0003924(PANTHER)	65	65
GO:0006468(PANTHER)	64	64
GO:0004930(InterPro)	182	63
GO:0032040(PANTHER)	63	63
GO:0000398(InterPro)	99	62
GO:0003682(PANTHER)	62	62
GO:0009058(InterPro)	102	61
GO:0000287(InterPro)	149	60
GO:0004812(InterPro)	137	60
GO:0003700(InterPro)	231	59
GO:0003677(PANTHER)	59	59
GO:0016887(PANTHER)	59	59
GO:0030170(InterPro)	109	58
GO:0006260(InterPro)	81	58
GO:0071013(PANTHER)	58	58
GO:0022857(PANTHER)	57	57
GO:0008017(InterPro)	237	56
GO:0006396(InterPro)	167	56
GO:0003899(InterPro)	147	56
GO:0016746(InterPro)	114	56
GO:0006888(PANTHER)	55	55
GO:0006457(InterPro)	136	54
GO:0008168(InterPro)	135	54
GO:0019829(PANTHER)	54	54
GO:0061630(PANTHER)	53	53
GO:0006364(InterPro)	103	52
GO:0004843(InterPro)	123	51
GO:0003697(PANTHER)	51	51
GO:0005096(PANTHER)	51	51
GO:0035556(PANTHER)	51	51
GO:0006418(InterPro)	114	50
GO:0005085(PANTHER)	50	50
GO:0051015(PANTHER)	50	50
GO:0000462(PANTHER)	49	49
GO:0004497(InterPro)	380	48
GO:0016747(InterPro)	102	48
GO:0003887(PANTHER)	47	47
GO:0005930(PANTHER)	47	47
GO:0006281(PANTHER)	47	47
GO:0016705(InterPro)	398	46
GO:0005215(InterPro)	85	46
GO:0004674(InterPro)	73	46
GO:0016579(InterPro)	50	46
GO:0000329(PANTHER)	46	46
GO:0005524(PANTHER)	46	46
GO:0035673(InterPro)	83	45
GO:0000981(PANTHER)	45	45
GO:0016491(PANTHER)	45	45
GO:0050660(PANTHER)	45	45
GO:0004842(InterPro)	107	44
GO:0016758(InterPro)	52	44
GO:0000978(PANTHER)	44	44
GO:0003743(PANTHER)	44	44
GO:0006457(PANTHER)	44	44
GO:0030687(PANTHER)	44	44
GO:0043161(PANTHER)	44	44
GO:0000139(PANTHER)	43	43
GO:0000785(PANTHER)	43	43
GO:0005622(PANTHER)	43	43
GO:0022625(PANTHER)	43	43
GO:0036064(PANTHER)	43	43
GO:0008237(InterPro)	68	42
GO:0003777(InterPro)	264	41
GO:0004222(InterPro)	106	41
GO:0016627(InterPro)	158	40
GO:0016791(InterPro)	122	40
GO:0006511(InterPro)	109	40
GO:0051082(InterPro)	107	40
GO:0000027(PANTHER)	40	40
GO:0003743(InterPro)	92	39
GO:0005762(PANTHER)	39	39
GO:0043565(InterPro)	175	38
GO:0050660(InterPro)	57	38
GO:0008270(PANTHER)	38	38
GO:0006099(PANTHER)	37	37
GO:0006811(InterPro)	50	36
GO:0003724(InterPro)	43	36
GO:0005319(PANTHER)	36	36
GO:0006869(PANTHER)	36	36
GO:0071944(PANTHER)	36	36
GO:0006338(PANTHER)	35	35
GO:0006511(PANTHER)	35	35
GO:0006897(PANTHER)	35	35
GO:0030686(PANTHER)	35	35
GO:0046983(InterPro)	135	34
GO:0016616(InterPro)	79	34
GO:0016301(InterPro)	60	34
GO:0004100(InterPro)	35	34
GO:0004100(PANTHER)	34	34
GO:0004843(PANTHER)	34	34
GO:0005759(PANTHER)	34	34
