interpro_acc	interpro_desc	hit_rows	unique_proteins
IPR027417	P-loop containing nucleoside triphosphate hydrolase	1966	927
IPR015943	WD40/YVTN repeat-like-containing domain superfamily	446	309
IPR011009	Protein kinase-like domain superfamily	317	309
IPR036322	WD40-repeat-containing domain superfamily	285	277
IPR016024	Armadillo-type fold	285	259
IPR000719	Protein kinase domain	670	253
IPR001680	WD40 repeat	2084	248
IPR011989	Armadillo-like helical	273	228
IPR011990	Tetratricopeptide-like helical domain superfamily	425	191
IPR036291	NAD(P)-binding domain superfamily	199	190
IPR036770	Ankyrin repeat-containing domain superfamily	348	182
IPR052050	Secreted Effector and Ankyrin Repeat	169	169
IPR029058	Alpha/Beta hydrolase fold	295	150
IPR003593	AAA+ ATPase domain	185	148
IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	273	146
IPR008271	Serine/threonine-protein kinase, active site	142	142
IPR003439	ABC transporter-like, ATP-binding domain	260	139
IPR017441	Protein kinase, ATP binding site	139	139
IPR032675	Leucine-rich repeat domain superfamily	179	135
IPR019775	WD40 repeat, conserved site	183	120
IPR013083	Zinc finger, RING/FYVE/PHD-type	126	115
IPR036412	HAD-like superfamily	113	111
IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	152	109
IPR035979	RNA-binding domain superfamily	135	108
IPR036852	Peptidase S8/S53 domain superfamily	235	107
IPR036259	MFS transporter superfamily	227	105
IPR000209	Peptidase S8/S53 domain	106	98
IPR036640	ABC transporter type 1, transmembrane domain superfamily	223	97
IPR014001	Helicase superfamily 1/2, ATP-binding domain	163	97
IPR023214	HAD superfamily	105	97
IPR012340	Nucleic acid-binding, OB-fold	187	96
IPR012337	Ribonuclease H-like superfamily	96	95
IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	98	91
IPR050173	ATP-binding cassette transporter C-like	91	91
IPR000504	RNA recognition motif domain	341	89
IPR001650	Helicase, C-terminal domain-like	244	89
IPR011527	ABC transporter type 1, transmembrane domain	195	84
IPR036397	Ribonuclease H superfamily	84	84
IPR050131	Subtilisin-like serine protease	84	84
IPR013785	Aldolase-type TIM barrel	85	82
IPR011993	PH-like domain superfamily	86	81
IPR036188	FAD/NAD(P)-binding domain superfamily	167	78
IPR043129	ATPase, nucleotide binding domain	116	78
IPR026983	Dynein heavy chain	77	77
IPR036249	Thioredoxin-like superfamily	85	76
IPR038765	Papain-like cysteine peptidase superfamily	76	76
IPR015424	Pyridoxal phosphate-dependent transferase	77	75
IPR015421	Pyridoxal phosphate-dependent transferase, major domain	70	70
IPR001611	Leucine-rich repeat	165	69
IPR023298	P-type ATPase, transmembrane domain superfamily	71	69
IPR011545	DEAD/DEAH-box helicase domain	69	68
IPR020472	PAC1/LIS1-like, WD-40 repeat	201	67
IPR013087	Zinc finger C2H2-type	392	66
IPR001841	Zinc finger, RING-type	135	66
IPR023395	Mitochondrial carrier protein domain superfamily	142	64
IPR036388	Winged helix-like DNA-binding domain superfamily	67	64
IPR002110	Ankyrin repeat	376	63
IPR011992	EF-hand domain pair	71	63
IPR019734	Tetratricopeptide repeat	303	62
IPR018108	Mitochondrial carrier protein, transmembrane region	290	62
IPR035892	C2 domain superfamily	124	61
IPR015500	Peptidase S8, subtilisin-related	156	59
IPR017978	GPCR family 3, C-terminal	111	59
IPR002048	EF-hand domain	227	58
IPR045864	Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)	115	58
IPR003959	ATPase, AAA-type, core	64	57
IPR023827	Peptidase S8, subtilisin, Asp-active site	57	57
IPR036390	Winged helix DNA-binding domain superfamily	57	57
IPR029052	Metallo-dependent phosphatase-like	100	56
IPR018247	EF-Hand 1, calcium-binding site	84	56
IPR036236	Zinc finger C2H2 superfamily	76	56
IPR036028	SH3-like domain superfamily	61	55
IPR005225	Small GTP-binding domain	55	55
IPR023828	Peptidase S8, subtilisin, Ser-active site	54	54
IPR017871	ABC transporter-like, conserved site	59	53
IPR029044	Nucleotide-diphospho-sugar transferases	83	52
IPR036869	Chaperone J-domain superfamily	98	50
IPR014710	RmlC-like jelly roll fold	62	50
IPR028082	Periplasmic binding protein-like I	54	50
IPR036961	Kinesin motor domain superfamily	54	50
