protein_id	hit_rows
FUN_006058-T1	101
FUN_002489-T1	99
FUN_004228-T1	96
FUN_002881-T1	87
FUN_001216-T1	85
FUN_020872-T1	84
FUN_002740-T1	83
FUN_002557-T1	83
FUN_000997-T1	82
FUN_014614-T1	81
FUN_013419-T1	80
FUN_006056-T1	78
FUN_002994-T1	78
FUN_001756-T1	77
FUN_003287-T1	76
FUN_001816-T1	74
FUN_001893-T1	74
FUN_000759-T1	72
FUN_000746-T1	72
FUN_001197-T1	71
FUN_002208-T1	71
FUN_001747-T1	70
FUN_000555-T1	70
FUN_015939-T1	68
FUN_001083-T1	68
FUN_002871-T1	68
FUN_004244-T1	67
FUN_005990-T1	67
FUN_003441-T1	67
FUN_007320-T1	67
FUN_000417-T1	66
FUN_002634-T1	66
FUN_016138-T1	66
FUN_002187-T1	65
FUN_014191-T1	65
FUN_002320-T1	65
FUN_000798-T1	65
FUN_002961-T1	64
FUN_016481-T1	64
FUN_009612-T1	64
FUN_010026-T1	64
FUN_018053-T1	64
FUN_017914-T1	63
FUN_000130-T1	63
FUN_010652-T1	63
FUN_000175-T1	62
FUN_004158-T1	62
FUN_008640-T1	62
FUN_002990-T1	62
FUN_002491-T1	62
FUN_002508-T1	62
FUN_000889-T1	62
FUN_018054-T1	61
FUN_000765-T1	61
FUN_016212-T1	61
FUN_001390-T1	61
FUN_019121-T1	61
FUN_002191-T1	61
FUN_000773-T1	61
FUN_003564-T1	60
FUN_001740-T1	60
FUN_001716-T1	60
FUN_009858-T1	59
FUN_011348-T1	59
FUN_007246-T1	59
FUN_017846-T1	58
FUN_011266-T1	58
FUN_000086-T1	58
FUN_009947-T1	58
FUN_000960-T1	58
FUN_003252-T1	58
FUN_007703-T1	58
FUN_000869-T1	58
FUN_014300-T1	57
FUN_000738-T1	56
FUN_003753-T1	56
FUN_020236-T1	56
FUN_003833-T1	56
FUN_015848-T1	56
FUN_006441-T1	56
FUN_015454-T1	56
FUN_001641-T1	55
FUN_002499-T1	55
FUN_005825-T1	55
FUN_000338-T1	55
