analysis	signature_acc	signature_desc	hit_rows	unique_proteins
MobiDBLite	mobidb-lite	consensus disorder prediction	46157	9702
Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	8166	4566
Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	6892	3091
Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	10496	3089
TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	9622	2877
Coils	Coil	Coil	3746	2199
SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1930	1930
Phobius	SIGNAL_PEPTIDE	Signal peptide region	1879	1879
Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	1878	1878
Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1878	1878
Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	1874	1874
SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	959	837
SignalP_EUK	SignalP-noTM	SignalP-noTM	818	818
Gene3D	G3DSA:3.40.50.300		1007	811
SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	625	625
Gene3D	G3DSA:2.130.10.10		446	309
SUPERFAMILY	SSF56112	Protein kinase-like (PK-like)	317	309
SUPERFAMILY	SSF50978	WD40 repeat-like	285	277
SUPERFAMILY	SSF48371	ARM repeat	285	259
Gene3D	G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1	272	256
ProSiteProfiles	PS50011	Protein kinase domain profile.	253	253
SMART	SM00320	WD40_4	1021	230
Gene3D	G3DSA:1.25.10.10		273	228
Pfam	PF00069	Protein kinase domain	242	216
Gene3D	G3DSA:3.40.50.720		235	216
ProSiteProfiles	PS50082	Trp-Asp (WD) repeats profile.	539	208
SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	199	190
Pfam	PF00400	WD domain, G-beta repeat	524	186
Gene3D	G3DSA:1.25.40.10	Tetratricopeptide repeat domain	261	177
Gene3D	G3DSA:1.25.40.20		218	177
SMART	SM00220	serkin_6	175	175
PANTHER	PTHR46586	ANKYRIN REPEAT-CONTAINING PROTEIN	169	169
ProSiteProfiles	PS50294	Trp-Asp (WD) repeats circular profile.	378	156
SMART	SM00382	AAA_5	185	148
Gene3D	G3DSA:3.30.200.20	Phosphorylase Kinase; domain 1	147	146
SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	147	143
ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	142	142
Gene3D	G3DSA:3.40.50.1820	alpha/beta hydrolase	148	141
Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	140	139
ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	139	139
Pfam	PF00005	ABC transporter	157	138
Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	179	135
SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	133	132
SUPERFAMILY	SSF48452	TPR-like	164	125
ProSitePatterns	PS00678	Trp-Asp (WD) repeats signature.	183	120
SUPERFAMILY	SSF140860	Pseudo ankyrin repeat-like	133	120
SUPERFAMILY	SSF48403	Ankyrin repeat	130	115
Gene3D	G3DSA:3.30.40.10	Zinc/RING finger domain, C3HC4 (zinc finger)	126	115
SUPERFAMILY	SSF56784	HAD-like	113	111
Gene3D	G3DSA:3.30.70.330		152	109
SUPERFAMILY	SSF54928	RNA-binding domain, RBD	135	108
SUPERFAMILY	SSF52743	Subtilisin-like	108	107
Gene3D	G3DSA:3.40.50.200	Peptidase S8/S53 domain	127	105
SUPERFAMILY	SSF103473	MFS general substrate transporter	106	100
ProSiteProfiles	PS51892	Serine proteases, subtilase domain profile.	99	99
Pfam	PF00082	Subtilase family	106	98
Gene3D	G3DSA:3.40.50.1000		105	97
ProSiteProfiles	PS51192	Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.	98	97
Gene3D	G3DSA:1.20.1250.20	MFS general substrate transporter like domains	121	95
Gene3D	G3DSA:1.20.1560.10	ABC transporter type 1, transmembrane domain	115	95
SUPERFAMILY	SSF53098	Ribonuclease H-like	96	95
